trade_id,amount,currency
519,22214,EUR
520,43762,EUR
521,22451,GBP
522,6854,GBP
523,15036,GBP
524,27487,GBP
525,41633,GBP
526,47615,GBP
527,25676,USD
528,37712,EUR
529,48230,EUR
530,2971,GBP
531,36926,USD
532,37984,GBP
533,25392,EUR
534,12159,GBP
535,11197,EUR
536,31820,EUR
537,48139,EUR
538,42359,GBP
539,16920,EUR
540,32530,USD
541,34551,GBP
542,27265,USD
543,21425,USD
544,2839,GBP
545,35916,EUR
546,33449,EUR
547,17737,GBP
548,8571,EUR
549,17680,USD
550,9631,EUR
551,16579,EUR
552,35539,GBP
553,3600,USD
554,17338,EUR
555,39841,GBP
556,11205,EUR
557,187,GBP
558,40962,GBP
559,29550,GBP
560,41625,USD
561,14065,USD
562,29993,USD
563,9830,EUR
564,24608,EUR
565,39492,USD
566,41898,GBP
567,46980,GBP
568,26032,USD
569,24900,EUR
570,30576,GBP
571,35131,USD
572,4517,USD
573,9447,EUR
574,4743,USD
575,36682,GBP
576,25296,USD
577,36936,USD
578,9322,EUR
579,38515,USD
580,20339,GBP
581,21061,USD
582,1442,USD
583,2991,USD
584,20843,EUR
585,16314,GBP
586,20393,EUR
587,40807,GBP
588,23430,USD
589,27055,USD
590,31633,GBP
591,17237,GBP
592,46561,GBP
593,25518,EUR
594,8262,GBP
595,20037,USD
596,46636,USD
597,49449,USD
598,8990,EUR
599,9206,USD
600,16167,USD
601,26694,GBP
602,24915,EUR
603,7381,GBP
604,48451,USD
605,10739,USD
606,28525,GBP
607,31632,GBP
608,8427,USD
609,38914,EUR
610,11539,USD
611,21051,USD
612,6364,EUR
613,10484,USD
614,26412,GBP
615,14605,USD
616,11016,EUR
617,18398,GBP
618,39351,GBP
619,16007,GBP
620,35906,EUR
621,1596,GBP
622,33817,GBP
623,25448,EUR
624,12050,EUR
625,9105,GBP
626,14608,USD
627,45992,USD
628,9181,EUR
629,48195,EUR
630,11857,EUR
631,32069,USD
632,45326,USD
633,18509,EUR
634,21633,USD
635,41304,GBP
636,20213,EUR
637,23760,GBP
638,22640,GBP
639,14153,GBP
640,25218,USD
641,39133,GBP
642,34958,EUR
643,2914,USD
644,7700,USD
645,11976,GBP
646,3516,GBP
647,5653,USD
648,23859,EUR
649,38393,USD
650,30630,USD
651,5829,GBP
652,9006,USD
653,45362,USD
654,28556,EUR
655,29049,USD
656,6786,USD
657,48678,EUR
658,302,USD
659,14872,USD
660,34551,USD
661,11631,EUR
662,34211,USD
663,29778,USD
664,10106,EUR
665,19989,GBP
666,2704,EUR
667,3716,GBP
668,25494,USD
669,45226,GBP
670,25455,USD
671,14874,USD
672,15810,EUR
673,6987,EUR
674,45512,EUR
675,36157,EUR
676,23169,USD
677,10276,GBP
678,35693,USD
679,19489,USD
680,46675,EUR
681,12316,EUR
682,2521,GBP
683,45399,USD
684,21878,EUR
685,34862,USD
686,10649,USD
687,17663,USD
688,26550,GBP
689,10835,USD
690,37355,GBP
691,30810,GBP
692,2698,USD
693,25986,EUR
694,29919,GBP
695,9041,EUR
696,34517,EUR
697,25969,USD
698,33386,GBP
699,12703,EUR
700,14736,GBP
701,12169,EUR
702,39172,GBP
703,6047,EUR
704,7309,EUR
705,36481,EUR
706,45455,EUR
707,47910,USD
708,41721,GBP
709,11809,USD
710,14205,EUR
711,42450,GBP
712,36960,GBP
713,37867,GBP
714,26983,EUR
715,26656,USD
716,3081,USD
717,5821,GBP
718,29642,GBP
719,35993,GBP
720,22873,EUR
721,38181,EUR
722,29881,EUR
723,17444,GBP
724,49886,EUR
725,28275,USD
726,21605,GBP
727,24650,GBP
728,1668,EUR
729,12351,GBP
730,17491,GBP
731,16562,GBP
732,8034,GBP
733,13221,USD
734,32144,USD
735,6112,GBP
736,15297,EUR
737,26208,EUR
738,35948,USD
739,44335,GBP
740,33520,USD
741,39613,USD
742,1557,GBP
743,19312,USD
744,36589,USD
745,31030,EUR
746,38147,GBP
747,28141,EUR
748,2087,EUR
749,25939,GBP
750,43711,GBP
751,12567,GBP
752,41142,EUR
753,25957,USD
754,29702,EUR
755,6084,USD
756,41006,USD
757,1388,EUR
758,12383,EUR
759,25344,USD
760,10036,EUR
761,15842,GBP
762,32891,USD
763,46261,USD
764,19587,EUR
765,47082,EUR
766,11168,EUR
767,28562,USD
768,37001,USD
769,6249,EUR
770,49691,GBP
771,19777,EUR
772,35833,USD
773,28907,USD
774,30010,USD
775,46497,EUR
776,6326,EUR
777,27773,EUR
778,20257,USD
779,46172,GBP
780,31076,EUR
781,8437,EUR
782,12150,USD
783,39790,EUR
784,19921,USD
785,33809,USD
786,34177,USD
787,7645,GBP
788,16367,USD
789,34207,GBP
790,47025,GBP
791,16675,USD
792,17617,EUR
793,33237,GBP
794,15929,GBP
795,161,GBP
796,37982,EUR
797,13184,USD
798,5581,GBP
799,15852,EUR
800,10346,GBP
801,36140,EUR
802,48044,USD
803,21053,EUR
804,30069,EUR
805,27921,GBP
806,25478,EUR
807,39349,GBP
808,29183,GBP
809,4306,USD
810,7677,USD
811,16983,EUR
812,27200,EUR
813,11611,GBP
814,12721,USD
815,42621,GBP
816,44776,USD
817,27024,EUR
818,20332,GBP
819,18331,EUR
820,37571,EUR
821,27608,USD
822,15706,USD
823,35418,GBP
824,13335,EUR
825,48962,EUR
826,16685,EUR
827,23502,GBP
828,35201,USD
829,46326,GBP
830,47999,GBP
831,25762,EUR
832,8839,GBP
833,6197,GBP
834,12706,USD
835,16778,GBP
836,33777,GBP
837,48641,USD
838,12294,USD
839,23958,GBP
840,8884,USD
841,38394,USD
842,48444,GBP
843,18330,EUR
844,31718,GBP
845,27501,EUR
846,38179,EUR
847,17499,EUR
848,39314,GBP
849,35359,EUR
850,21622,USD
851,37060,EUR
852,8468,USD
853,16126,USD
854,1284,USD
855,33190,USD
856,40910,USD
857,28976,GBP
858,3519,EUR
859,7144,USD
860,41830,EUR
861,27356,EUR
862,42202,USD
863,31137,GBP
864,48467,GBP
865,1915,GBP
866,1965,USD
867,40599,USD
868,13930,USD
869,15835,EUR
870,40338,USD
871,26348,EUR
872,33855,EUR
873,8527,USD
874,32912,GBP
875,19628,GBP
876,37259,GBP
877,6952,EUR
878,34199,USD
879,10777,GBP
880,1053,EUR
881,23811,USD
882,46395,EUR
883,7692,USD
884,45586,GBP
885,48495,EUR
886,45698,EUR
887,21167,USD
888,1730,EUR
889,1109,USD
890,18760,EUR
891,31130,GBP
892,37465,USD
893,1846,GBP
894,390,EUR
895,46911,EUR
896,40404,GBP
897,49981,EUR
898,33140,USD
899,48574,GBP
900,32535,USD
901,22918,EUR
902,45996,GBP
903,20314,EUR
904,7599,GBP
905,8596,USD
906,1731,USD
907,40237,GBP
908,40482,EUR
909,15887,USD
910,9679,EUR
911,27828,EUR
912,1947,USD
913,20613,USD
914,40695,EUR
915,42181,GBP
916,32850,EUR
917,32267,GBP
918,8882,USD
919,42769,EUR
920,46569,GBP
921,21757,USD
922,45788,USD
923,30726,GBP
924,9025,EUR
925,13843,USD
926,11061,USD
927,43500,EUR
928,3076,GBP
929,49890,EUR
930,25443,GBP
931,10807,GBP
932,11346,USD
933,7379,GBP
934,14907,GBP
935,23882,GBP
936,24723,USD
937,37213,USD
938,39848,EUR
939,27525,USD
940,1318,EUR
941,8221,USD
942,25569,USD
943,19731,EUR
944,40275,GBP
945,13026,USD
946,49357,GBP
947,12616,GBP
948,11697,USD
949,19411,USD
950,12275,USD
951,4456,USD
952,25955,EUR
953,22042,USD
954,40868,EUR
955,27992,GBP
956,44818,USD
957,7355,GBP
958,31183,EUR
959,24736,USD
960,43144,GBP
961,29322,EUR
962,2348,GBP
963,20382,GBP
964,1619,USD
965,23048,USD
966,32107,USD
967,8199,USD
968,40230,EUR
969,41587,GBP
970,23007,USD
971,13917,USD
972,34707,USD
973,19018,GBP
974,9764,USD
975,40406,EUR
976,22312,GBP
977,19440,GBP
978,45724,USD
979,18711,GBP
980,14134,USD
981,37888,EUR
982,46848,GBP
983,22200,EUR
984,11134,USD
985,38529,USD
986,9919,EUR
987,47606,GBP
988,10535,EUR
989,27599,EUR
990,49141,GBP
991,39094,EUR
992,47904,GBP
993,7680,EUR
994,1228,EUR
995,36665,EUR
996,37722,USD
997,6153,USD
998,14791,USD
999,21953,EUR
1000,21699,EUR
1001,20690,USD
1002,3808,USD
1003,40357,GBP
1004,3107,USD
1005,32425,USD
1006,38428,GBP
1007,47407,USD
1008,2725,EUR
1009,11303,GBP
1010,34211,USD
1011,16502,GBP
1012,27767,GBP
1013,45979,USD
1014,18463,EUR
1015,10182,GBP
1016,40500,EUR
1017,40340,GBP
1018,32724,EUR
1019,13529,EUR
1020,20202,GBP
1021,1589,GBP
1022,48159,USD
1023,41070,GBP
1024,3920,USD
1025,32469,GBP
1026,44429,USD
1027,23038,GBP
1028,36262,EUR
1029,48354,USD
1030,23685,USD
1031,29817,GBP
1032,8872,GBP
1033,48228,USD
1034,25361,GBP
1035,42606,GBP
1036,44524,USD
1037,14813,GBP
1038,25690,GBP
1039,6783,USD
1040,5960,EUR
1041,12757,USD
1042,41798,USD
1043,5555,USD
1044,4348,USD
1045,34284,USD
1046,1041,GBP
1047,46821,GBP
1048,37279,GBP
1049,9394,GBP
1050,25673,EUR
1051,28605,GBP
1052,8429,GBP
1053,26546,GBP
1054,5273,USD
1055,16443,EUR
1056,29864,EUR
1057,13954,USD
1058,48154,EUR
1059,46733,USD
1060,7884,GBP
1061,32747,EUR
1062,11162,GBP
1063,36254,USD
1064,275,GBP
1065,766,GBP
1066,33061,EUR
1067,34008,GBP
1068,44075,GBP
1069,22522,GBP
1070,9194,GBP
1071,5917,GBP
1072,49214,USD
1073,37650,GBP
1074,18698,GBP
1075,41441,GBP
1076,40580,USD
1077,23514,USD
1078,8565,EUR
1079,41437,EUR
1080,16255,GBP
1081,29687,GBP
1082,29791,GBP
1083,1495,USD
1084,10613,GBP
1085,19429,EUR
1086,23099,USD
1087,25213,EUR
1088,20240,GBP
1089,47483,GBP
1090,39106,EUR
1091,42370,USD
1092,17018,GBP
1093,7028,USD
1094,2561,GBP
1095,20137,EUR
1096,33622,USD
1097,18848,EUR
1098,15066,EUR
1099,24866,EUR
1100,30926,USD
1101,43991,USD
1102,14853,USD
1103,19994,EUR
1104,18520,EUR
1105,41359,USD
1106,39896,EUR
1107,9010,EUR
1108,42246,EUR
1109,38183,GBP
1110,30405,GBP
1111,35012,EUR
1112,25948,EUR
1113,21695,EUR
1114,13584,EUR
1115,40519,USD
1116,28272,EUR
1117,44970,EUR
1118,48880,USD
1119,49223,USD
1120,43842,EUR
1121,1471,EUR
1122,49875,GBP
1123,42823,GBP
1124,14490,USD
1125,30417,GBP
1126,17863,EUR
1127,34870,GBP
1128,4449,USD
1129,17980,EUR
1130,37797,GBP
1131,7137,USD
1132,47218,EUR
1133,38064,USD
1134,28188,EUR
1135,43949,USD
1136,26850,EUR
1137,26759,GBP
1138,28708,EUR
1139,3141,EUR
1140,39954,GBP
1141,27341,USD
1142,11842,EUR
1143,47337,EUR
1144,39525,USD
1145,352,GBP
1146,11062,GBP
1147,8527,GBP
1148,27722,GBP
1149,18867,USD
1150,39892,GBP
1151,47744,USD
1152,12363,EUR
1153,24221,GBP
1154,19740,GBP
1155,25719,EUR
1156,5342,GBP
1157,43158,EUR
1158,34420,EUR
1159,39833,USD
1160,12566,GBP
1161,23300,GBP
1162,36792,USD
1163,7322,USD
1164,32685,EUR
1165,21112,USD
1166,48993,EUR
1167,7256,USD
1168,5218,EUR
1169,12807,USD
1170,49929,EUR
1171,11704,EUR
1172,46920,EUR
1173,39916,EUR
1174,6557,USD
1175,10460,GBP
1176,33102,USD
1177,26224,GBP
1178,35436,GBP
1179,26661,GBP
1180,38817,USD
1181,46361,GBP
1182,40286,EUR
1183,10415,EUR
1184,6202,GBP
1185,2161,EUR
1186,33407,USD
1187,38334,EUR
1188,19381,GBP
1189,29784,USD
1190,48472,GBP
1191,4848,USD
1192,13950,GBP
1193,42869,GBP
1194,15875,USD
1195,37946,EUR
1196,14049,GBP
1197,2146,GBP
1198,45696,USD
1199,36442,GBP
1200,16488,GBP
1201,8692,USD
1202,13973,USD
1203,46783,EUR
1204,44026,EUR
1205,9674,GBP
1206,40329,EUR
1207,17382,EUR
1208,19645,USD
1209,19960,USD
1210,33341,GBP
1211,5766,USD
1212,12263,EUR
1213,27043,GBP
1214,25972,EUR
1215,35840,GBP
1216,31812,USD
1217,15704,GBP
1218,18559,USD
1219,31755,USD
1220,6862,EUR
1221,43627,USD
1222,732,GBP
1223,15373,USD
1224,11188,EUR
1225,47436,GBP
1226,20318,GBP
1227,36255,GBP
1228,49488,GBP
1229,29306,EUR
1230,13327,USD
1231,4447,GBP
1232,11481,GBP
1233,7710,USD
1234,8259,USD
1235,22455,EUR
1236,15431,EUR
1237,36654,GBP
1238,28705,GBP
1239,20044,USD
1240,36149,EUR
1241,19910,EUR
1242,11206,USD
1243,20544,EUR
1244,39132,EUR
1245,35783,USD
1246,18079,GBP
1247,49291,GBP
1248,30837,EUR
1249,14868,USD
1250,37301,EUR
1251,11508,EUR
1252,33616,GBP
1253,1289,EUR
1254,11243,GBP
1255,47124,USD
1256,26889,EUR
1257,41847,GBP
1258,24397,USD
1259,8239,EUR
1260,4959,GBP
1261,31297,GBP
1262,5529,EUR
1263,11094,GBP
1264,31484,GBP
1265,32266,EUR
1266,10431,EUR
1267,18105,GBP
1268,27762,EUR
1269,45405,EUR
1270,38337,EUR
1271,40557,USD
1272,13979,USD
1273,24327,USD
1274,10028,USD
1275,18410,USD
1276,23206,EUR
1277,13769,USD
1278,28325,EUR
1279,13072,EUR
1280,43135,EUR
1281,2373,GBP
1282,248,GBP
1283,372,USD
1284,25249,USD
1285,23089,GBP
1286,9764,GBP
1287,8174,USD
1288,9484,GBP
1289,2778,EUR
1290,8255,USD
1291,49653,EUR
1292,49689,USD
1293,45805,EUR
1294,39214,EUR
1295,25900,EUR
1296,8204,GBP
1297,5311,GBP
1298,11125,USD
1299,41776,GBP
1300,40179,GBP
1301,20367,USD
1302,4689,GBP
1303,42055,GBP
1304,18641,EUR
1305,33295,USD
1306,29184,GBP
1307,30058,GBP
1308,7129,EUR
1309,11147,EUR
1310,22803,EUR
1311,8189,GBP
1312,24099,USD
1313,6792,GBP
1314,29490,USD
1315,20036,USD
1316,28952,USD
1317,13986,GBP
1318,30454,USD
1319,44861,USD
1320,25945,EUR
1321,36518,EUR
1322,6934,EUR
1323,7317,USD
1324,23597,EUR
1325,43458,GBP
1326,25303,EUR
1327,3043,GBP
1328,2977,USD
1329,38099,EUR
1330,10785,GBP
1331,241,GBP
1332,7580,EUR
1333,32970,USD
1334,48537,EUR
1335,48674,GBP
1336,46356,GBP
1337,22212,EUR
1338,6533,USD
1339,30802,EUR
1340,11459,GBP
1341,40351,USD
1342,30487,USD
1343,34191,USD
1344,49705,GBP
1345,17922,USD
1346,3254,GBP
1347,32864,EUR
1348,22953,USD
1349,21911,GBP
1350,38859,EUR
1351,2233,EUR
1352,19256,GBP
1353,25784,USD
1354,46584,GBP
1355,43466,GBP
1356,37338,GBP
1357,17469,GBP
1358,28540,USD
1359,32180,EUR
1360,440,GBP
1361,22913,GBP
1362,41051,EUR
1363,10493,EUR
1364,49699,GBP
1365,9590,EUR
1366,21104,GBP
1367,33333,USD
1368,8745,GBP
1369,49095,EUR
1370,33664,EUR
1371,1617,EUR
1372,16414,GBP
1373,24444,EUR
1374,16934,USD
1375,38519,USD
1376,39587,GBP
1377,25483,EUR
1378,41415,GBP
1379,45652,USD
1380,20888,USD
1381,35563,GBP
1382,40910,GBP
1383,15020,EUR
1384,20493,GBP
1385,49976,GBP
1386,3216,USD
1387,24403,EUR
1388,20830,EUR
1389,9886,EUR
1390,32499,GBP
1391,23588,EUR
1392,42641,GBP
1393,41697,GBP
1394,925,GBP
1395,1805,GBP
1396,28765,EUR
1397,13706,EUR
1398,21046,EUR
1399,25668,USD
1400,7688,GBP
1401,23563,GBP
1402,48496,USD
1403,43572,USD
1404,14840,GBP
1405,42733,EUR
1406,11077,EUR
1407,25645,USD
1408,42675,GBP
1409,41354,USD
1410,30517,GBP
1411,9156,EUR
1412,11261,GBP
1413,28580,USD
1414,37025,EUR
1415,38029,EUR
1416,25802,EUR
1417,42782,USD
1418,42172,GBP
1419,12900,USD
1420,15284,EUR
1421,33755,USD
1422,35358,USD
1423,45609,EUR
1424,506,EUR
1425,4226,EUR
1426,29041,USD
1427,33002,USD
1428,24289,USD
1429,19000,EUR
1430,15746,EUR
1431,38990,GBP
1432,37044,GBP
1433,24845,GBP
1434,19961,USD
1435,34642,EUR
1436,14853,EUR
1437,6048,USD
1438,37362,USD
1439,3533,USD
1440,39720,EUR
1441,7780,EUR
1442,44939,EUR
1443,48344,GBP
1444,4419,EUR
1445,1171,GBP
1446,45276,EUR
1447,28460,USD
1448,38510,EUR
1449,38115,EUR
1450,35249,USD
1451,42802,USD
1452,17517,GBP
1453,48739,EUR
1454,7393,USD
1455,44474,EUR
1456,6168,EUR
1457,34373,GBP
1458,13511,EUR
1459,1838,GBP
1460,29236,GBP
1461,21965,USD
1462,26765,EUR
1463,29305,GBP
1464,34989,GBP
1465,47032,GBP
1466,8357,EUR
1467,42610,EUR
1468,44398,USD
1469,25982,EUR
1470,8164,EUR
1471,8876,EUR
1472,43414,USD
1473,38236,EUR
1474,32215,EUR
1475,47541,GBP
1476,16081,GBP
1477,44334,EUR
1478,24460,GBP
1479,18755,USD
1480,8799,EUR
1481,4928,EUR
1482,8200,EUR
1483,27654,GBP
1484,17314,EUR
1485,12136,EUR
1486,486,GBP
1487,28523,GBP
1488,46311,GBP
1489,24788,EUR
1490,14540,USD
1491,49034,GBP
1492,26138,USD
1493,42486,USD
1494,30928,GBP
1495,36178,GBP
1496,12429,USD
1497,23877,GBP
1498,15527,GBP
1499,2397,EUR
1500,21457,USD
1501,33667,GBP
1502,30052,EUR
1503,35530,EUR
1504,24310,EUR
1505,2655,EUR
1506,26980,GBP
1507,43174,EUR
1508,22078,USD
1509,15215,USD
1510,26226,GBP
1511,14550,USD
1512,46501,EUR
1513,27555,USD
1514,24533,EUR
1515,33427,USD
1516,17046,USD
1517,2887,GBP
1518,38952,USD
1519,46978,GBP
1520,42670,USD
1521,48704,GBP
1522,8043,EUR
1523,47848,EUR
1524,21518,USD
1525,11782,USD
1526,35769,EUR
1527,30944,USD
1528,30444,GBP
1529,36453,USD
1530,12416,GBP
1531,42899,EUR
1532,35167,USD
1533,38261,USD
1534,3512,USD
1535,44613,EUR
1536,36880,EUR
1537,46688,EUR
1538,42323,GBP
1539,16592,USD
1540,18585,EUR
1541,5280,GBP
1542,45593,USD
1543,13432,GBP
1544,29199,USD
1545,34800,USD
1546,12717,USD
1547,41045,EUR
1548,3862,USD
1549,17554,USD
1550,43759,GBP
